"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1379397_at",-0.705993024999999,7.80638401111111,-5.71501324348649,3.5134803303241e-06,0.109265724792749,2.52901237516073
"1374475_at",-0.347716801666667,8.22541427407407,-4.9302700657923,3.0932818627762e-05,0.300665944153517,1.15685019542994
"1368273_at",-0.319897141666666,9.16727640740741,-4.81175493543243,4.29822709801383e-05,0.300665944153517,0.944080337248598
"1371266_at",-0.259292316666666,13.0177032962963,-4.72152413038816,5.52034564318617e-05,0.300665944153517,0.781379311082966
"1373217_at",-0.356506294999999,8.02705998888889,-4.70244678709525,5.8200832801105e-05,0.300665944153517,0.74690905725363
"1368718_at",0.9779115,10.10108,4.66019827584249,6.5427677849715e-05,0.300665944153517,0.670490609084432
"1376481_at",-0.527078326666667,5.96231807407407,-4.64799705473995,6.76761828057049e-05,0.300665944153517,0.648401351589401
"1378596_at",0.242376338333333,4.20728476296296,4.5277031782906,9.43949029567642e-05,0.335540116934086,0.430194127368805
"1377029_at",-0.495171708333333,8.64756464814815,-4.46946813401667,0.000110862186545053,0.335540116934086,0.324318899115736
"1383137_at",-0.543869178333332,6.87887978148148,-4.44144986047916,0.000119770311102681,0.335540116934086,0.273333927082396
"1385338_at",-0.311952238333333,4.02364969259259,-4.39180266444371,0.00013733078232456,0.335540116934086,0.18292826589309
"1390019_at",-0.341711733333333,11.5516068148148,-4.38530988433154,0.000139808240597473,0.335540116934086,0.171099897597384
"1387391_at",-0.45584271,4.70613736666667,-4.36735543040025,0.000146891829607817,0.335540116934086,0.13838532039011
"1395203_at",-0.252766223333334,6.67196217037037,-4.35720646792187,0.000151051854949587,0.335540116934086,0.119889570292997
"1383046_at",0.234185416666668,11.9424639259259,4.28864290684268,0.000182375104529228,0.377422930138321,-0.00511662340751684
"1387125_at",-0.713290808333334,5.83217287037037,-4.24897210642679,0.000203346058099585,0.377422930138321,-0.07747680509293
"1375219_a_at",0.165063491666666,12.8296636481481,4.24368506610308,0.000206314988017346,0.377422930138321,-0.0871216003237025
"1390271_at",0.272900473333333,6.40685844074074,4.18152276015455,0.000244599116857612,0.422599329730826,-0.200530030528829
"1377505_at",0.224301131666667,4.01304431481481,4.15401837547208,0.000263698894294435,0.431619574403297,-0.250709122184444
"1370080_at",0.636390058333333,8.36545667407407,4.11286869977433,0.000295049248514896,0.458786828978238,-0.325774232666869
"1395413_at",-0.425522661666666,7.03473236296296,-4.09416242897175,0.000310487892546792,0.459802998586318,-0.359892399879464
"1385103_at",-0.271783468333333,5.96688005925926,-4.03943234728948,0.000360368329488453,0.48210076892777,-0.459681915019616
"1369964_at",-0.58775675,6.26207478888889,-4.02623549509347,0.000373528606012955,0.48210076892777,-0.483734654582907
"1398289_a_at",0.208706881666667,3.94825979259259,4.01490929985324,0.000385199161395182,0.48210076892777,-0.504374524583265
"1378629_at",-0.256204826666667,4.53856801851852,-3.99552517188266,0.00040600922393551,0.48210076892777,-0.539690530827336
"1384415_at",-0.29303721,5.16737406666667,-3.98723274194535,0.000415245250368724,0.48210076892777,-0.554795242981955
"1392342_at",0.237071495,5.14127187777778,3.97425706925964,0.000430112862513066,0.48210076892777,-0.578426256971264
"1384929_at",0.324405303333333,5.32311151851852,3.9574334899485,0.000450169374510246,0.48210076892777,-0.609056764165607
"1375775_at",-0.659209898333333,4.65693273703704,-3.93028817441514,0.000484481571011985,0.48210076892777,-0.658458541007448
"1391565_at",0.206990098333333,4.38231514074074,3.92452556535143,0.000492089013669417,0.48210076892777,-0.668942263733244
"1393813_at",-0.285455463333333,6.16118771481481,-3.91234046534711,0.000508562650019004,0.48210076892777,-0.691105731308963
"1377092_at",0.743630488333333,7.07003547407407,3.90734283129447,0.000515474420669872,0.48210076892777,-0.70019411124516
"1391106_at",0.940410096666666,5.9718719037037,3.88554641034586,0.00054671059881744,0.48210076892777,-0.739818752634865
"1386486_at",-0.267155036666667,6.71982298518519,-3.88117794179739,0.000553190393289775,0.48210076892777,-0.747757746223004
"1370224_at",0.503141391666666,9.77105587037037,3.87893954637828,0.000556539708939351,0.48210076892777,-0.75182532022766
"1385494_at",-0.386616468333334,6.39914854814815,-3.869397979682,0.000571040865436843,0.48210076892777,-0.769161366989423
"1372893_at",-0.243778616666665,9.06516751851852,-3.86775245120068,0.0005735788433817,0.48210076892777,-0.772150669997254
"1369302_at",0.300902356666667,4.44609835925926,3.84664132625057,0.000607135473291218,0.488495326190514,-0.810489340941359
"1383248_at",0.450605483333332,11.406192462963,3.82616007979203,0.00064152324406387,0.488495326190514,-0.847661356792266
"1376508_at",0.2490777,3.67584953333333,3.82428103083036,0.000644771905635543,0.488495326190514,-0.851070523513869
"1395935_at",0.224815493333333,4.71390612962963,3.81564521384402,0.000659910265348859,0.488495326190514,-0.866735906112412
"1385011_at",-0.294555198333333,6.07296604814815,-3.80466647975495,0.000679658085832182,0.488495326190514,-0.886645003520907
"1387797_at",-0.275556133333334,10.7064840925926,-3.80409058535422,0.000680709757795316,0.488495326190514,-0.887689144389596
"1368980_at",-0.489770708333333,5.63602477037037,-3.79240764021443,0.000702391235051045,0.488495326190514,-0.90886682909191
"1392388_at",0.229589351666667,4.61393894814815,3.79004944371666,0.000706848762936851,0.488495326190514,-0.913140504168589
"1373432_at",-0.365322821666666,8.39459841851852,-3.7783331506601,0.000729408154293931,0.489329095493642,-0.93436827215148
"1397200_at",-0.345909244999999,7.41759058888889,-3.76885551353201,0.000748170178789012,0.489329095493642,-0.951533475139462
"1372153_at",0.18787829,4.84113007777778,3.75720065809338,0.000771889036584088,0.489329095493642,-0.972633652603011
"1374073_at",-0.43418815,8.93002677777778,-3.7495061995687,0.000787948636534794,0.489329095493642,-0.986558741929669
"1384609_a_at",0.247450103333333,7.10119976296296,3.74326878529896,0.000801206020254516,0.489329095493642,-0.997843890662729
"AFFX-r2-Bs-thr-M_s_at",-0.6823211,6.53399048888889,-3.74268282427702,0.000802462583046907,0.489329095493642,-0.99890390881396
"1372347_at",-0.436618816666666,8.62613224074074,-3.70710360472018,0.000882471049673432,0.527768599496039,-1.06322034008323
"1392135_at",0.22290067,5.18165348888889,3.68207508820458,0.000943359074409277,0.532167437746355,-1.10840582347932
"1394520_at",0.226126976666666,4.04075341481481,3.67996954321279,0.00094866403335831,0.532167437746355,-1.11220478068403
"1387185_at",-0.303287845,7.64445697777778,-3.67685217250842,0.000956571694914298,0.532167437746355,-1.11782866470309
"1373558_at",-0.301910351666666,4.33140198518519,-3.67618420202565,0.000958274430489593,0.532167437746355,-1.11903361004313
"1383830_a_at",-0.308801738333333,7.7241410037037,-3.65467390924321,0.00101471222260269,0.54746117444139,-1.15781564435482
"1382836_at",0.146995591666667,3.28056972592593,3.64001872524,0.00105500310101612,0.54746117444139,-1.18421524155226
"1390145_at",-0.648304408333333,7.76203772592593,-3.6391945144581,0.00105731471410665,0.54746117444139,-1.18569939261578
"1367738_at",-0.272614406666667,6.42198695185185,-3.63571968443268,0.00106711464315586,0.54746117444139,-1.19195582286781
"1392570_at",-0.274037938333334,6.36017712592593,-3.63173956817762,0.00107844818193887,0.54746117444139,-1.19912067478174
"1387101_at",0.278870016666667,11.5456518703704,3.62326850840248,0.00110296091685276,0.54746117444139,-1.21436511371831
"1391572_at",-0.357254633333333,6.99367747037037,-3.61326839682937,0.00113259594121139,0.54746117444139,-1.23235262191317
"1393039_a_at",0.245616133333334,8.74728407407407,3.61181543189186,0.00113696565101161,0.54746117444139,-1.23496532978334
"1371412_a_at",-0.634256599999999,11.3996157222222,-3.60940592463268,0.00114424825038395,0.54746117444139,-1.23929764011613
"1390406_at",-0.493275166666666,7.44700524074074,-3.59436005126588,0.00119075953150593,0.561082282883377,-1.26633756818035
"1384956_at",-0.386661018333333,6.63002881481481,-3.57674518314778,0.00124754831642602,0.561642750570507,-1.29796605643188
"1370355_at",-1.77184358666667,10.5668681185185,-3.57478411435297,0.00125403098619735,0.561642750570507,-1.30148533262211
"1392783_at",0.188818003333333,3.86952930740741,3.56545761154565,0.00128531169395667,0.561642750570507,-1.31821700195993
"1393653_at",0.220886308333333,11.0616042407407,3.56221066306183,0.00129637852621452,0.561642750570507,-1.32403988898643
"1377514_at",0.240924158333333,4.73825762962963,3.55882565888161,0.00130801434418911,0.561642750570507,-1.33010918440186
"1369977_at",-0.151990808333333,3.72948327037037,-3.55639348676473,0.00131643734139066,0.561642750570507,-1.33446931365176
"1387169_at",-0.308154128333334,6.44001957037037,-3.55583818140785,0.00131836781863234,0.561642750570507,-1.33546471623112
"1398156_at",0.223239681666667,3.71150717037037,3.54622090813831,0.00135224048417661,0.568288200235248,-1.35269878840478
"1387014_at",0.193195378333333,3.50770564074074,3.53790152810534,0.00138222158327722,0.570404729181282,-1.36759903192855
"1377145_at",-0.524260526666667,6.53221638518519,-3.5313341585916,0.00140634314700733,0.570404729181282,-1.37935604769123
"1395449_at",0.252734508333334,4.62260518518519,3.52875352712988,0.0014159329240213,0.570404729181282,-1.38397463803924
"1378169_at",0.443483685,5.40272203333333,3.52368981228703,0.00143493454881276,0.570404729181282,-1.39303508699189
"1392384_s_at",0.822427466666667,10.2289844814815,3.51467001649513,0.00146939535006159,0.570404729181282,-1.4091669885909
"1368494_at",-0.234226578333334,3.90935634814815,-3.5091013163718,0.0014910699387237,0.570404729181282,-1.41912200246997
"1377190_at",-0.252983785,3.56140314444444,-3.50669380833482,0.00150053609233437,0.570404729181282,-1.42342474028572
"1373928_at",0.166888968333333,4.68780868518519,3.50209959011851,0.00151876203859423,0.570404729181282,-1.43163374851256
"AFFX-BioDn-3_at",0.283965566666668,11.6699808148148,3.50120122619403,0.00152235096054685,0.570404729181282,-1.43323867109793
"1378256_at",0.313547913333334,6.35863088518519,3.48621859516537,0.00158343054572648,0.586227458827949,-1.45999113356153
"1384297_at",0.22492938,3.9214356,3.47709083212131,0.00162179752469111,0.586680415919204,-1.47627628352417
"1383633_at",-0.2308337,8.64302722222222,-3.47468957438645,0.00163203934109648,0.586680415919204,-1.48055878102243
"1380483_at",0.262669863333334,4.13130741851852,3.47254278005591,0.00164124879208241,0.586680415919204,-1.48438686603297
"1373496_at",-0.406629706666666,8.09989230740741,-3.46807397933891,0.00166058088524439,0.586845510797903,-1.49235366516904
"1375646_at",0.203014631666667,3.95420931481481,3.45276506784287,0.00172849154890281,0.594395812256684,-1.51962710083149
"1393909_at",-0.398187895000001,6.29506604444444,-3.4458431564043,0.00176007179461655,0.594395812256684,-1.53194913307863
"1368651_at",-0.761456649999999,9.92746361111111,-3.4456583390342,0.00176092259731172,0.594395812256684,-1.53227805233732
"1367530_at",-0.222115769999999,8.13012563333333,-3.44412333697715,0.00176800432602492,0.594395812256684,-1.53500972581667
"1387280_a_at",0.314059541666667,6.05122321481482,3.4420720616418,0.00177751086979876,0.594395812256684,-1.5386596849978
"1388662_at",-0.437109999999999,7.96877144444444,-3.43760847765407,0.00179836818574937,0.594972895836379,-1.54660015110768
"1370847_at",-0.466767239999999,6.38386176666667,-3.43051140436575,0.00183201906630319,0.599725904662768,-1.55922015997861
"1382708_at",0.129662881666667,3.65293055925926,3.41764891766176,0.00189456348636905,0.606136088101159,-1.58207546841083
"1396398_at",-0.264640636666667,5.84057710740741,-3.41170429047963,0.00192416161666422,0.606136088101159,-1.59263106373648
"1370876_at",0.287877108333334,8.35417858518518,3.41145536693607,0.00192541068998593,0.606136088101159,-1.59307296266211
"1368523_at",0.16085002,3.79073185555556,3.40184399487015,0.00197424280425447,0.606136088101159,-1.61012907382975
"1397285_at",0.190437038333333,3.5473694962963,3.39303050307266,0.00202007026580066,0.606136088101159,-1.62575825719232
"AFFX-DapX-M_at",-0.576840324999999,8.39695811111111,-3.3854970563165,0.00206005408175146,0.606136088101159,-1.63910903360803
"1367861_at",-0.376586456666667,5.66029775185185,-3.37428232121291,0.00212099375116605,0.606136088101159,-1.65896913092231
"1394889_at",-0.305418031666666,5.02258607407407,-3.36956060164854,0.00214716785752846,0.606136088101159,-1.66732548541807
"1371029_at",0.187511123333334,5.55062832962963,3.36947458536991,0.00214764755152931,0.606136088101159,-1.66747768500338
