"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1370269_at",8.01384243888888,9.89893783,14.5844634572199,1.27574680188386e-15,3.9674449791786e-11,22.8169440755483
"1387243_at",1.38369441666667,13.5540178166667,10.8764765190317,3.08997908221759e-12,4.80476297389424e-08,16.6643740420153
"1372600_at",1.22648622222222,9.18839515,8.90552757856549,3.83609182839332e-10,3.97662065904013e-06,12.5618835088818
"1392946_at",1.62779891666667,10.3374457666667,8.10540860016564,3.13748961159568e-09,2.43931973577535e-05,10.718988388571
"1388611_at",-0.684972983333335,8.19565529333333,-7.46297657303591,1.79625747141313e-08,0.000111723622206954,9.16817181551831
"1370244_at",0.589706541666668,12.6152938,7.29460126869102,2.86029412802776e-08,0.000140090131272145,8.75188022952829
"1373810_at",1.87115170833333,8.6081349,7.25945136143706,3.15325547093159e-08,0.000140090131272145,8.66448531647347
"1398598_at",0.919503916666666,9.54011418333333,7.02471513310714,6.06766753968415e-08,0.000221687085566313,8.07665259780477
"1376827_at",0.783970674999999,7.63454623,7.0048127006404,6.41558818642662e-08,0.000221687085566313,8.02648500123372
"1373814_at",-0.761206761111112,7.45134527666667,-6.93736773275532,7.7521452386252e-08,0.000229010874192329,7.85610896735122
"1378016_at",0.897531783333333,8.17869000333333,6.92173219991706,8.10032353489059e-08,0.000229010874192329,7.81653076182951
"1398265_at",-0.84373851388889,6.77863703333333,-6.76955679836851,1.24375657882349e-07,0.000322329882040265,7.42978693851958
"1380254_at",1.16419328333333,7.84337622,6.69610517737588,1.53094130761018e-07,0.000366236490195146,7.24214194072875
"1394494_at",-0.798974438888889,7.82407905333333,-6.48707451055356,2.77222567091573e-07,0.000612499904862978,6.70486920753491
"1397552_at",0.818207236111111,7.7854227,6.44551757287754,3.12090365051669e-07,0.000612499904862978,6.59750707278679
"1388874_at",0.584137777777778,10.9249489166667,6.44212799922121,3.15122623808086e-07,0.000612499904862978,6.58874244855371
"1383248_at",0.897905486111111,11.4374146666667,6.35186099655273,4.0780011656553e-07,0.00074601034265126,6.35491819541716
"1374620_at",0.768412833333332,10.7378928666667,6.30770176902423,4.62719167448248e-07,0.00076335964168432,6.24024591082571
"1383455_at",0.598716999999999,10.8350926166667,6.29048084449603,4.86106765740327e-07,0.00076335964168432,6.19547779151651
"1398317_at",0.756631138888889,9.37577851666667,6.28703892093385,4.90922307266677e-07,0.00076335964168432,6.18652679726842
"1397942_at",0.438891780555555,4.20823506,6.2541761471216,5.39393447100828e-07,0.000798790324351841,6.10101070353601
"1388741_at",-0.611955616666667,4.90980644666667,-6.23651328472903,5.67410878640998e-07,0.0008020868597662,6.05500830337138
"1380568_a_at",-0.561782894444445,6.27752779666667,-6.15092885342999,7.25410901258588e-07,0.000975040082755636,5.83172492925984
"1370613_s_at",0.710291611111111,13.0381053,6.13818500533602,7.52466702663599e-07,0.000975040082755636,5.79842468328862
"1370245_at",0.8500955,10.8885438833333,6.10548667473436,8.26630687241847e-07,0.00102829550970137,5.71292237329968
"1377725_at",-0.458629608333333,7.15691794333333,-6.0594873669407,9.4360114609815e-07,0.00112865584778871,5.59249687382876
"1387599_a_at",1.73171933333333,10.7318799333333,6.03633974876336,1.00862926153941e-06,0.00116175412609682,5.53183554401856
"1374483_at",0.796539730555556,7.09848981333333,5.99437647253716,1.13823931243485e-06,0.00119542331213741,5.42176442878664
"1388883_at",0.645146236111111,9.95723078333333,5.99167862537284,1.14712398763871e-06,0.00119542331213741,5.41468353045183
"1394574_at",0.772345152777778,7.17501093333333,5.98985217012829,1.15317853834922e-06,0.00119542331213741,5.40988943504592
"1372479_at",1.23295580277778,8.53956347333333,5.89879152942099,1.4995811596125e-06,0.0015043701446061,5.17058186526467
"1387759_s_at",0.807096055555556,12.3187863833333,5.85848977331025,1.68465516130446e-06,0.00163722158941898,5.06449560892004
"1377238_at",0.575012863888889,6.64883972666667,5.81455560375335,1.91267906005764e-06,0.00171121405613588,4.94873509305632
"1376862_at",0.854363199999999,8.47406997,5.8140654322011,1.91539078464584e-06,0.00171121405613588,4.94744291971816
"1387776_at",-0.626453761111112,8.19012924333333,-5.81217854394719,1.92586552508942e-06,0.00171121405613588,4.94246864126321
"1398295_at",-0.747342502777779,7.75608917333333,-5.71430777747455,2.55600084582193e-06,0.00219666415176071,4.6841916100048
"1367705_at",0.956913722222222,9.57533756666667,5.7047992396952,2.62731671726814e-06,0.00219666415176071,4.65907260723079
"1394551_at",-0.935807894444445,5.49931281333333,-5.69741010176443,2.68411324373475e-06,0.00219666415176071,4.63954946934269
"1377093_at",0.365714286111111,6.66545911333333,5.65039175879209,3.07554183174587e-06,0.00245246860065294,4.51526090069983
"1387036_at",0.742735611111112,8.07886095,5.62204170616846,3.33873739204309e-06,0.00258814064317141,4.44027307704243
"1371480_at",0.585661138888888,9.16605593333333,5.60601481649682,3.49740588319523e-06,0.00258814064317141,4.3978661380713
"1374074_at",0.544079944444444,8.5358068,5.59981087619993,3.56083701513074e-06,0.00258814064317141,4.38144784371604
"1367673_at",1.03129819444444,11.2201343333333,5.59258717699117,3.63614982099888e-06,0.00258814064317141,4.3623289378701
"1370320_at",0.662215583333334,11.2133760166667,5.59016152047179,3.66179582300209e-06,0.00258814064317141,4.35590852190299
"1395394_at",-0.501976788888889,5.29363629333333,-5.57546540483446,3.82110026804077e-06,0.00264071993857333,4.31700495151452
"1375420_at",-0.50569453888889,5.85280306,-5.56691936560282,3.9169150800948e-06,0.00264809004512757,4.29437819692641
"1376437_at",0.45289648611111,10.6807590166667,5.54731630528972,4.1458957921963e-06,0.0027432598562024,4.24246669953797
"1369632_a_at",-0.795223786111111,5.87395863666667,-5.5306311596718,4.35133474171226e-06,0.00281921164859395,4.19827185631113
"1369756_a_at",0.994195477777778,8.51908095333333,5.5017499407492,4.73134791001325e-06,0.00300286099292861,4.1217514259908
"1377161_at",0.687183613888889,3.52087066,5.47678889053771,5.08646939573618e-06,0.00314133012645196,4.05559730068669
"1395403_at",-2.43476336111111,8.41549348333333,-5.47240485449711,5.15154302225313e-06,0.00314133012645196,4.04397650876179
